class_id,class_name,precision,recall,f1_score,support,accuracy
0,Speed limit (20km/h),1.0,1.0,1.0,60.0,1.0
1,Speed limit (30km/h),0.9917355371900827,1.0,0.995850622406639,720.0,0.9995249406175772
2,Speed limit (50km/h),0.9907161803713528,0.996,0.9933510638297872,750.0,0.9992082343626286
3,Speed limit (60km/h),0.9910514541387024,0.9844444444444445,0.987736900780379,450.0,0.9991290577988915
4,Speed limit (70km/h),0.998468606431853,0.9878787878787879,0.9931454683929931,660.0,0.9992874109263657
5,Speed limit (80km/h),0.9779179810725552,0.9841269841269841,0.9810126582278481,630.0,0.9980997624703087
6,End of speed limit (80km/h),0.9798657718120806,0.9733333333333334,0.9765886287625418,150.0,0.9994457640538401
7,Speed limit (100km/h),1.0,0.9977777777777778,0.9988876529477196,450.0,0.9999208234362629
8,Speed limit (120km/h),0.9933035714285714,0.9888888888888889,0.9910913140311804,450.0,0.9993665874901029
9,No passing,0.9917355371900827,1.0,0.995850622406639,480.0,0.9996832937450515
10,No passing veh over 3.5 tons,0.9984871406959153,1.0,0.9992429977289932,660.0,0.9999208234362629
11,Right-of-way at intersection,0.9904076738609112,0.9833333333333333,0.986857825567503,420.0,0.9991290577988915
12,Priority road,0.9898255813953488,0.9869565217391304,0.988388969521045,690.0,0.9987331749802059
13,Yield,0.9876373626373627,0.9986111111111111,0.9930939226519337,720.0,0.9992082343626286
14,Stop,0.9782608695652174,1.0,0.989010989010989,270.0,0.9995249406175772
15,No vehicles,1.0,0.9904761904761905,0.9952153110047847,210.0,0.9998416468725257
16,Veh > 3.5 tons prohibited,0.9933774834437086,1.0,0.9966777408637874,150.0,0.9999208234362629
17,No entry,1.0,0.9472222222222222,0.9728958630527818,360.0,0.9984956452889945
18,General caution,1.0,0.958974358974359,0.9790575916230366,390.0,0.9987331749802059
19,Dangerous curve left,1.0,1.0,1.0,60.0,1.0
20,Dangerous curve right,1.0,1.0,1.0,90.0,1.0
21,Double curve,0.9186046511627907,0.8777777777777778,0.8977272727272727,90.0,0.9985748218527316
22,Bumpy road,0.9894736842105263,0.7833333333333333,0.8744186046511628,120.0,0.9978622327790974
23,Slippery road,0.9615384615384616,1.0,0.9803921568627451,150.0,0.9995249406175772
24,Road narrows on the right,0.9772727272727273,0.9555555555555556,0.9662921348314607,90.0,0.9995249406175772
25,Road work,0.9463220675944334,0.9916666666666667,0.9684638860630722,480.0,0.9975455265241489
26,Traffic signals,0.89,0.9888888888888889,0.9368421052631579,180.0,0.9980997624703087
27,Pedestrians,0.9836065573770492,1.0,0.9917355371900827,60.0,0.9999208234362629
28,Children crossing,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0,0.9997624703087886
29,Bicycles crossing,0.9574468085106383,1.0,0.9782608695652174,90.0,0.9996832937450515
30,Beware of ice/snow,0.9791666666666666,0.94,0.9591836734693877,150.0,0.9990498812351544
31,Wild animals crossing,1.0,1.0,1.0,270.0,1.0
32,End speed + passing limits,0.9836065573770492,1.0,0.9917355371900827,60.0,0.9999208234362629
33,Turn right ahead,0.990521327014218,0.9952380952380953,0.9928741092636579,210.0,0.9997624703087886
34,Turn left ahead,0.9917355371900827,1.0,0.995850622406639,120.0,0.9999208234362629
35,Ahead only,1.0,0.9974358974358974,0.9987163029525032,390.0,0.9999208234362629
36,Go straight or right,1.0,1.0,1.0,120.0,1.0
37,Go straight or left,0.9672131147540983,0.9833333333333333,0.9752066115702479,60.0,0.9997624703087886
38,Keep right,0.9841269841269841,0.9884057971014493,0.9862617498192335,690.0,0.9984956452889945
39,Keep left,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0,0.9998416468725257
40,Roundabout mandatory,0.946236559139785,0.9777777777777777,0.9617486338797814,90.0,0.9994457640538401
41,End of no passing,0.8787878787878788,0.9666666666666667,0.9206349206349206,60.0,0.9992082343626286
42,End no passing veh > 3.5 tons,0.9876543209876543,0.8888888888888888,0.935672514619883,90.0,0.9991290577988915
