timestamp,model_name,grid_signature,hyperparameters_json,epochs,num_parameters,test_accuracy,resume_status,run_time_sec
2026-01-05T01:04:59.845026,grid_1,b4ee7fb8cb9d,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,46219,82.82,FRESH,
2026-01-05T01:24:23.949365,grid_2,e5c57d37cae7,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,46219,80.04,FRESH,
2026-01-05T01:33:08.232348,grid_3,6180267703fb,"{""batchnorm"": false, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,44043,43.95,FRESH,
2026-01-05T01:49:29.937282,grid_4,6bc77f00ffef,"{""batchnorm"": false, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,44043,2.84,RESUMED,
2026-01-05T01:56:04.136255,grid_5,01f09d34fba0,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,46219,86.41,FRESH,
2026-01-05T01:56:16.357975,grid_6,6e76a27cda89,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,46219,85.18,FRESH,
2026-01-05T01:58:30.954136,grid_7,2253025a319c,"{""batchnorm"": false, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,44043,39.56,FRESH,
2026-01-05T02:08:30.036250,grid_8,62b6aa378121,"{""batchnorm"": false, ""conv_filters"": [16, 32], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,44043,35.06,FRESH,
2026-01-05T02:14:11.415981,grid_10,49052dfc4e33,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,46219,71.77,FRESH,
2026-01-05T02:14:46.728433,grid_9,a69113940de4,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,46219,83.71,FRESH,
2026-01-05T02:16:30.627695,grid_11,2825b7c90ef5,"{""batchnorm"": false, ""conv_filters"": [16, 32], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,44043,40.29,FRESH,
2026-01-05T02:26:38.153944,grid_12,99b529c19325,"{""batchnorm"": false, ""conv_filters"": [16, 32], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,44043,31.73,FRESH,
2026-01-05T02:40:57.280541,grid_13,d61cec747750,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,46219,80.15,FRESH,
2026-01-05T02:41:07.955266,grid_14,eba2c3dfa586,"{""batchnorm"": true, ""conv_filters"": [16, 32], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,46219,72.9,FRESH,
